ID;Latitude;Longitude;ope1;ope2;ope3;ope4;efex1;efex2;efex3;efex4;efin1;efin2;efin3;efin4;efin5;intpol1;intpol2;intpol3;intpol4;intpol5;intknow;senknow1;senknow2;senknow3;senknow4;senknow5;autknow;partinf1;partinf2;partinf3;partinf4;partinf5;partinf6;polpart;parton1;parton2;parton3;parton4;parton5;parton6;partonline;acce1;acce2;acce3;use1;use2;use3;use4;use5;use6;use7;com1;com2;com3;com4;com5;com6;com7;com8;com9;com10;prov1;prov2;prov3;prov4;prov5;prov6;prov7;sexo;edad;edadcat;SES;educ;right;center;left;year;_merge;periphery;yearcat1;yearcat2;yearcat3;Cluster_01;Cluster_05;camp
1966;-32.9851812;-71.5279182;2;2;2;2;1;2;2;2;2;4;5;2;4;1;3;3;4;4;0;0;1;1;1;0;3;1;0;0;0;0;1;2;0;0;0;0;0;0;0;S?;S?;No;4;1;7;1;1;1;4;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;Femenine;67;60 or more;3;Media completa;No;No;No;20;master only (1);0;0;1;0;0;0;0
1968;-32.9851264;-71.5280507;2;4;2;2;1;2;1;2;5;4;4;5;5;3;3;3;3;3;0;0;1;1;1;0;3;1;1;1;1;1;1;6;1;1;1;0;0;1;4;S?;S?;S?;7;5;6;6;7;7;7;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;Femenine;29;18-29;3;Universitaria completa;No;No;Yes;19;master only (1);0;1;0;0;0;0;0
1970;-32.9850131;-71.5285571;5;5;5;2;1;1;2;4;5;4;5;4;4;4;4;3;4;3;1;1;1;1;1;1;6;0;1;0;1;1;1;4;1;1;0;0;0;0;2;S?;S?;No;6;5;7;5;6;3;6;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;Masculine;25;18-29;3;Universitaria completa;No;No;Yes;20;master only (1);0;0;1;0;0;0;0
1972;-32.9846797;-71.5262159;2;2;2;1;2;2;1;4;2;2;2;2;3;1;2;2;3;3;1;1;1;1;1;0;5;0;0;0;0;1;0;1;0;0;0;0;0;0;0;S?;S?;No;7;1;1;1;1;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;Femenine;56;45-59;4;Basica incompleta o menos;No;No;No;19;master only (1);0;1;0;0;0;0;0
1973;-32.9845322;-71.5272403;2;2;4;1;1;2;1;1;4;3;3;3;2;2;3;3;2;2;0;0;1;1;1;0;3;0;1;1;1;1;0;4;1;1;0;1;0;0;3;S?;S?;No;7;2;7;2;1;2;4;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;Femenine;23;18-29;2;Universitaria inompleta;No;No;No;19;master only (1);0;1;0;0;0;0;0
1974;-32.9844644;-71.5266349;2;4;3;2;4;4;3;2;3;4;2;2;3;1;3;2;3;2;0;1;1;1;0;0;3;0;0;0;0;1;0;1;0;0;0;0;0;0;0;S?;S?;No;7;6;6;1;1;1;3;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;Masculine;19;18-29;4;Universitaria inompleta;;;;19;master only (1);0;1;0;0;0;0;0
1976;-32.9843941;-71.5277626;3;3;4;2;2;2;1;1;3;2;4;4;3;3;4;4;3;4;0;0;1;1;1;0;3;0;1;1;1;0;0;3;1;1;0;0;0;0;2;S?;S?;No;7;4;7;2;2;6;7;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;Femenine;20;18-29;4;Universitaria inompleta;No;No;Yes;19;master only (1);0;1;0;0;0;0;0
1977;-32.9843861;-71.5267454;2;3;4;3;1;2;1;2;5;5;3;4;4;3;3;3;3;3;0;0;1;1;1;0;3;0;1;0;0;1;0;2;0;1;0;1;0;0;2;S?;S?;S?;6;7;2;3;2;1;6;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;Masculine;28;18-29;5;Postgrado;No;No;Yes;19;master only (1);0;1;0;0;0;0;0
1978;-32.9843643;-71.526998;2;2;2;2;1;1;1;1;2;4;3;3;4;1;1;1;2;2;0;0;1;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;No;No;No;;;;;;;;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;Masculine;47;45-59;2;Media completa;No;No;No;19;master only (1);0;1;0;0;0;0;0
1979;-32.9843454;-71.5270002;1;3;3;3;1;1;1;1;2;2;1;2;4;1;3;3;4;4;0;0;1;1;1;0;3;0;1;0;0;0;0;1;0;0;0;1;0;0;1;S?;S?;No;7;7;7;1;1;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;Femenine;27;18-29;2;Media completa;No;No;Yes;19;master only (1);0;1;0;0;0;0;0
1980;-32.9842885;-71.5295386;1;1;1;1;2;2;2;1;2;3;3;3;4;2;4;4;4;4;0;1;1;1;1;1;5;0;0;0;0;1;0;1;0;0;0;0;0;0;0;S?;S?;S?;7;1;5;1;1;1;4;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;Femenine;42;30-44;5;Superior tecnica completa;;;;19;master only (1);0;1;0;0;0;0;0
1981;-32.9842883;-71.5264102;1;3;1;1;1;1;1;1;1;1;1;2;3;2;2;2;3;2;0;0;1;1;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;S?;No;No;7;7;6;1;1;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;Femenine;28;18-29;2;Media incompleta;No;No;No;19;master only (1);0;1;0;0;0;0;0
1982;-32.9836109;-71.5270118;3;3;3;1;2;3;2;2;2;3;3;3;3;1;4;4;4;4;0;0;1;1;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;S?;S?;S?;7;5;6;1;1;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;Femenine;21;18-29;5;Superior tecnica completa;No;No;No;19;master only (1);0;1;0;0;0;0;0
1983;-32.983534;-71.5270305;1;1;1;1;1;2;1;1;1;2;2;1;2;1;2;2;2;3;0;0;1;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;S?;S?;S?;7;6;2;1;1;1;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;Femenine;68;60 or more;3;Media completa;No;No;No;19;master only (1);0;1;0;0;0;0;0
1984;-32.9834824;-71.5272182;2;4;4;2;2;2;2;2;5;3;5;4;3;1;2;2;1;1;0;0;0;0;1;0;1;0;1;1;1;1;0;4;1;0;0;0;0;0;1;No;No;No;7;7;7;1;1;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;Femenine;26;18-29;2;Media completa;No;No;No;19;master only (1);0;1;0;0;0;0;0
1985;-32.9833973;-71.5275158;3;3;3;3;4;3;3;4;4;5;4;4;4;3;3;3;3;3;1;0;1;1;1;0;4;0;0;0;0;1;0;1;0;0;0;0;0;0;0;S?;S?;;7;6;5;4;2;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;Femenine;43;30-44;5;Universitaria completa;;;;19;master only (1);0;1;0;0;0;0;0
4381;-32.9874842;-71.5262754;4;3;5;3;1;1;1;3;5;5;5;5;5;4;4;4;4;4;1;0;1;1;1;0;4;1;0;0;0;1;1;3;1;0;0;0;0;0;1;S?;S?;S?;7;4;4;2;2;1;6;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;Femenine;27;18-29;5;Universitaria completa;No;No;Yes;21;using only (2);0;0;0;1;0;0;0
4382;-32.9874328;-71.526264;3;3;5;1;1;1;1;1;3;3;2;3;5;2;3;2;3;3;1;0;1;1;1;0;4;0;1;0;1;1;0;3;1;1;0;0;1;0;3;S?;S?;No;7;6;6;3;4;1;5;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;Femenine;19;18-29;2;Universitaria inompleta;No;Yes;No;21;using only (2);0;0;0;1;0;0;0
4383;-32.98743;-71.5263533;4;4;4;3;4;4;4;4;4;5;5;5;5;3;3;3;3;4;1;0;1;1;1;0;4;1;0;0;0;1;1;3;0;1;1;1;1;0;4;S?;S?;S?;7;4;4;1;1;1;7;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;Femenine;29;18-29;5;Universitaria completa;Yes;No;No;21;using only (2);0;0;0;1;0;0;0
4384;-32.9874248;-71.5262763;3;4;5;2;1;3;2;2;4;4;4;5;5;3;3;3;4;3;1;0;1;0;0;0;2;0;1;0;0;1;0;2;1;1;0;0;0;0;2;S?;S?;S?;6;3;6;4;5;1;6;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;Femenine;33;30-44;4;Superior tecnica completa;No;No;No;21;using only (2);0;0;0;1;0;0;0
4385;-32.9874246;-71.5261565;3;2;4;2;1;2;1;1;3;3;3;4;4;3;3;2;3;3;1;0;1;1;1;0;4;0;1;0;0;0;0;1;1;0;0;0;0;0;1;S?;S?;S?;7;5;5;2;3;1;3;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;Femenine;52;45-59;3;Media completa;No;No;No;21;using only (2);0;0;0;1;0;0;0
4386;-32.9873255;-71.526095;4;5;5;3;3;2;1;2;4;2;4;5;5;4;4;4;4;4;1;1;1;1;1;1;6;0;0;0;0;1;1;2;1;1;0;1;1;1;5;S?;S?;No;7;7;5;6;6;7;6;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;Femenine;39;30-44;;Superior tecnica incompleta;No;Yes;No;21;using only (2);0;0;0;1;0;0;0
4387;-32.9872619;-71.5260715;;;;;4;3;3;1;4;3;3;3;3;2;3;3;3;3;1;0;1;1;1;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;No;No;No;;;;;;;;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;Femenine;69;60 or more;2;Media completa;No;No;No;21;using only (2);0;0;0;1;0;0;0
4388;-32.9872208;-71.5264686;3;4;5;2;2;4;1;1;4;2;4;5;5;4;4;4;4;4;0;0;1;1;1;0;3;0;1;0;0;1;1;3;1;1;1;1;0;1;5;S?;No;S?;7;7;4;7;7;4;7;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;Femenine;27;18-29;3;Universitaria completa;No;Yes;No;21;using only (2);0;0;0;1;0;0;0
4389;-32.9871992;-71.5261975;5;5;5;3;3;4;3;3;2;4;2;4;4;2;3;2;4;4;0;0;1;1;1;0;3;0;0;0;0;0;1;1;0;1;0;0;0;0;1;S?;No;No;4;3;2;2;2;4;4;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;Femenine;58;45-59;;Superior tecnica completa;No;No;No;21;using only (2);0;0;0;1;0;0;0
4390;-32.9871655;-71.5260873;5;5;5;3;1;3;1;1;5;5;5;5;5;4;4;4;4;4;1;1;1;1;1;1;6;0;1;0;1;1;0;3;1;1;0;1;0;1;4;S?;S?;No;7;7;7;4;2;7;7;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;Masculine;37;30-44;4;Universitaria completa;No;No;Yes;21;using only (2);0;0;0;1;0;0;0
4391;-32.9870783;-71.526117;4;3;5;2;2;2;1;2;4;1;5;5;5;3;3;3;4;2;1;1;1;1;1;0;5;1;1;0;0;1;1;4;1;1;0;1;1;0;4;S?;S?;No;7;7;7;7;7;7;7;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;Femenine;45;45-59;2;Media tecnica completa;No;No;Yes;21;using only (2);0;0;0;1;0;0;0
4392;-32.9870757;-71.5260155;1;2;2;2;2;2;4;2;2;4;1;2;4;3;2;2;3;3;1;0;1;1;1;1;5;0;0;0;0;0;1;1;0;1;0;0;0;0;1;S?;S?;S?;7;1;1;1;1;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;Masculine;36;30-44;3;Media completa;No;No;No;21;using only (2);0;0;0;1;0;0;0
